title_name;title_id;runtime;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;age_rating;genre_drama;genre_comedy;genre_thriller;genre_action;genre_adventure;genre_romance;genre_crime;genre_fantasy;genre_family;genre_scifi;genre_mystery;genre_horror;genre_other;language_english;language_spanish;language_french;language_other;weekday_friday;weekday_wednesday;weekday_thursday;weekday_other;roi;tickets_sold
star wars episode ix  the rise of skywalker;tt2527338;142;18;12;2019;1073947634;515049789;558897845;177383864;275000000;3;False;False;False;True;True;False;False;True;False;True;False;False;False;True;False;False;False;False;True;False;False;2.9052641236363637;56536749
toy story 4;tt1979376;100;20;6;2019;1073394593;434038008;639356585;120908065;200000000;1;False;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;4.366972965;47644128
toy story 3;tt0435761;103;16;6;2010;1066969703;415004880;651964823;110307189;200000000;1;False;True;False;False;True;False;False;True;True;False;False;False;True;True;True;False;False;False;True;False;False;4.334848515;52598844
pirates of the caribbean dead mans chest;tt0383574;151;6;7;2006;1066179725;423315812;642863913;135634554;225000000;3;False;False;False;True;True;False;False;True;False;False;False;False;False;True;False;True;True;False;False;True;False;3.7385765555555555;64628368
rogue one a star wars story;tt3748528;133;14;12;2016;1056057273;532177324;523879949;155081681;200000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;4.280286365;61523390
aladdin;tt6139732;128;22;5;2019;1050693953;355559216;695134737;355559216;183000000;2;False;False;False;False;True;True;False;True;True;False;False;False;True;True;False;False;True;False;True;False;False;4.741497010928962;39029551
pirates of the caribbean on stranger tides;tt1298650;136;18;5;2011;1045713802;241071802;804642000;90151958;250000000;3;False;False;False;True;True;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;3.182855208;30399975
despicable me 3;tt3469046;89;14;6;2017;1034799409;264624300;770175109;72434025;80000000;2;False;True;False;False;True;False;False;True;True;True;False;False;True;True;False;False;False;False;True;False;False;11.9349926125;29501036
finding dory;tt2277860;97;15;6;2016;1028570889;486295561;542275328;135060273;200000000;2;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;True;False;True;False;False;4.142854445;56219140
alice in wonderland;tt1014759;108;3;3;2010;1025467110;334191110;691276000;116101023;200000000;2;False;False;False;False;True;False;False;True;True;False;False;False;False;True;False;False;False;False;True;False;False;4.12733555;42356287
